Service Operation,baseCRBQName,Service Domain,Role Definition
RqBQ Request manual intervention or a decision with respect to Configuration,Configuration,Systems Administration,Role for Request manual intervention or a decision with respect to Configuration service operation
RqBQ Request manual intervention or a decision with respect to Inventory,Inventory,Systems Administration,Role for Request manual intervention or a decision with respect to Inventory service operation
UpBQ Update details relating to Assurance,Assurance,Systems Administration,Role for Update details relating to Assurance service operation
UpBQ Update details relating to Capacity Planning and Resilience,CapacityPlanningandResilience,Systems Administration,Role for Update details relating to Capacity Planning and Resilience service operation
UpBQ Update details relating to Configuration,Configuration,Systems Administration,Role for Update details relating to Configuration service operation
UpBQ Update details relating to Inventory,Inventory,Systems Administration,Role for Update details relating to Inventory service operation
Control Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Control Product Sales Support Administrative Plan service operation
Create Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for te Product Sales Support Administrative Plan service operation
Exchange Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Exchange Product Sales Support Administrative Plan service operation
Grant Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Grant Product Sales Support Administrative Plan service operation
Notify Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Notify Product Sales Support Administrative Plan service operation
Request Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Request Product Sales Support Administrative Plan service operation
Retrieve Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Retrieve Product Sales Support Administrative Plan service operation
Update Product Sales Support Administrative Plan,ProductSalesSupportAdministrativePlan,Product Sales Support,Role for Update Product Sales Support Administrative Plan service operation
Exchange Staff Assignment Routine,StaffAssignment,Product Sales Support,Role for Exchange Staff Assignment Routine service operation
Exchange Staff Availability Tracking Routine,StaffAvailabilityTracking,Product Sales Support,Role for Exchange Staff Availability Tracking Routine service operation
Grant Staff Assignment Routine,StaffAssignment,Product Sales Support,Role for Grant Staff Assignment Routine service operation
Grant Staff Availability Tracking Routine,StaffAvailabilityTracking,Product Sales Support,Role for Grant Staff Availability Tracking Routine service operation
Notify Staff Assignment Routine,StaffAssignment,Product Sales Support,Role for Notify Staff Assignment Routine service operation
Notify Staff Availability Tracking Routine,StaffAvailabilityTracking,Product Sales Support,Role for Notify Staff Availability Tracking Routine service operation
Request Staff Assignment Routine,StaffAssignment,Product Sales Support,Role for Request Staff Assignment Routine service operation
Request Staff Availability Tracking Routine,StaffAvailabilityTracking,Product Sales Support,Role for Request Staff Availability Tracking Routine service operation
Retrieve Staff Assignment Routine,StaffAssignment,Product Sales Support,Role for Retrieve Staff Assignment Routine service operation
Retrieve Staff Availability Tracking Routine,StaffAvailabilityTracking,Product Sales Support,Role for Retrieve Staff Availability Tracking Routine service operation
Update Staff Assignment Routine,StaffAssignment,Product Sales Support,Role for Update Staff Assignment Routine service operation
Update Staff Availability Tracking Routine,StaffAvailabilityTracking,Product Sales Support,Role for Update Staff Availability Tracking Routine service operation
Control Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Control Notional Pooling Facility service operation
Exchange Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Exchange Notional Pooling Facility service operation
Initiate Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Initiate Notional Pooling Facility service operation
Notify Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Notify Notional Pooling Facility service operation
Request Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Request Notional Pooling Facility service operation
Retrieve Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Retrieve Notional Pooling Facility service operation
Update Notional Pooling Facility,NotionalPoolingFacility,Notional Pooling,Role for Update Notional Pooling Facility service operation
Exchange Notional Account Arrangement Fulfillment,NotionalAccountArrangement,Notional Pooling,Role for Exchange Notional Account Arrangement Fulfillment service operation
Exchange Notional Account Consolidated Position Fulfillment,NotionalAccountConsolidatedPosition,Notional Pooling,Role for Exchange Notional Account Consolidated Position Fulfillment service operation
Exchange Notional Account Interest Allocation Fulfillment,NotionalAccountInterestAllocation,Notional Pooling,Role for Exchange Notional Account Interest Allocation Fulfillment service operation
